id	tweet	label	hashtags
0	"RT @ArchKennedy: Pope Francis compares ""Populists"" to Hitler, calls for open doors to all migrants. Do you hear that Trump supporters⁉️#Pop…"	pro	Pop
1	RT @JessieJaneDuff: While the #FakeNews was drooling with hype that Cesar Sayoc is a bona fide Trump loving Republican, a social media inve…	pro	FakeNews
2	RT @johnlundin: Donald J. Trump is a national security threat. Period. #ThursdayThoughts	anti	ThursdayThoughts
3	RT @JessieJaneDuff: While the #FakeNews was drooling with hype that Cesar Sayoc is a bona fide Trump loving Republican, a social media inve…	pro	FakeNews
4	RT @CB618444: “If there is collateral damage for those that don’t share our views, so be it”.. you said it Nancy, OWN it ✋  #Trump is busy…	pro	Trump
5	RT @AltUSPressSec: We’re still finding explosives from the #MAGABomber, even as Trump launches his unhinged attacks upon the victims. https…	anti	MAGABomber
6	RT @adamcbest: Cesar Sayoc, aka the #MAGABomber, isn’t an anomaly. There’s a pattern of violence committed by men radicalized by Trump rhet…	anti	MAGABomber
7	RT @RealJamesWoods: Well, proper #VoterID, a single Election Day, and, yes, paper ballots would get election integrity out of the clutches…	pro	VoterID
8	RT @TheMarkPantano: My Guess:  They already know who sent these #FakeBombs.  And since it was almost certainly a Democrat political stunt,…	pro	FakeBombs
9	"RT @freddyatton: * #TrumpPoll ( @realDonaldTrump )  (retweet) -----------  Donald J. Trump is a ""clear and present danger"" to the USA, beca…"	anti	TrumpPoll
10	RT @JohnFugelsang: Trump is talking about how “radical leftists have unleashed mayhem” to distract us from the #magabomber, which ironicall…	anti	magabomber
11	RT @rn_deplorable: Floridians do not let this happen! Do not let socialism take over your state! Get out and #VoteRed #Midterms2018  https:…	pro	"VoteRed	Midterms2018"
12	RT @tvc3232: Dear #Resisters: We’re down to the wire! Only 10 days to the midterm election! Voter turnout is the key to victory! Time to ma…	anti	Resisters
13	RT @mitchellvii: Now that #FakeBombGate is done, President Trump is back on the attack against the Liberal forces of evil which would steal…	pro	FakeBombGate
14	RT @keithboykin: The #MAGABomber Cesar Sayoc is literally wearing a #MAGA hat at a Trump rally, and Trump thinks he has nothing to do with…	pro	"MAGABomber	MAGA"
15	RT @CovfefeGun: 🔴LIVE Trump Rally: President Donald Trump MASSIVE Rally in Charlotte Nor... 	pro	Nation
16	RT @mitchellvii: Now that #FakeBombGate is done, President Trump is back on the attack against the Liberal forces of evil which would steal…	pro	FakeBombGate
17	RT @RudyGiuliani: #REALNEWS: Pres. Trump foreign policy succeeds again where predecessors failed. North and South Korea disarmed the Securi…	pro	REALNEWS
18	RT @RealJamesWoods: Well, proper #VoterID, a single Election Day, and, yes, paper ballots would get election integrity out of the clutches…	pro	VoterID
19	RT @coleyworld: Why can’t Trump say it?   Radical Rightwing Terrorists.   #Vanifesto #MAGAbomber #MassShootings #RandomActsOfHate	anti	"Vanifesto	MAGAbomber	MassShootings	RandomActsOfHate"
